,0 Present day longitude (degrees),1 Present day latitude (degrees),2 Reconstructed longitude (degrees),3 Reconstructed latitude (degrees),4 Age (Ma),5 Time before mineralisation (Myr),6 Seafloor age (Myr),7 Segment length (km),8 Slab length (km),9 Distance to trench edge (km),10 Subducting plate normal velocity (km/Myr),11 Subducting plate parallel velocity (km/Myr),12 Overriding plate normal velocity (km/Myr),13 Overriding plate parallel velocity (km/Myr),14 Convergence normal rate (km/Myr),15 Convergence parallel rate (km/Myr),16 Subduction polarity (degrees),17 Subduction obliquity (degrees),18 Distance along margin (km),19 Subduction obliquity signed (radians),20 Ore Deposits Binary Flag (1 or 0)
55,-72.42472,-30.801904444444443,-62.17096747676176,-35.76969210752797,0.0,44.5,42.95221064581972,60.528819,3329.5731276666666,3329.5731276666666,40.247345555555555,34.15013422222223,-21.340363777777775,15.311951666666667,51.559728222222226,1.4976862222222223,4.920960111111111,10.225002333333332,1767.3258311111108,0.014851713481794437,0.0
56,-72.42472,-30.801904444444443,-59.70363390147313,-35.20504980943445,0.0,54.5,32.56828573622639,58.40805777777778,2675.8529920000005,2675.8529920000005,5.03193711111111,-39.26981844444445,-21.539692777777777,-31.06178811111111,20.55749988888889,-32.17615966666666,6.898861666666667,49.15980488888889,1767.3258311111108,-0.3485482432407593,0.0
57,-72.42472,-30.801904444444443,-57.07426987579223,-33.427724025253816,0.0,64.5,24.712931195676596,55.98652188888889,1534.8761704444446,1534.8761704444446,-20.895012888888893,16.044401333333333,-24.79132044444444,-10.706944555555555,-0.4723982222222219,3.2250023333333333,9.158300666666666,63.60664466666666,1767.3258311111108,0.8427313973137837,0.0
58,-72.42472,-30.801904444444443,-52.68399422350295,-33.76588393210145,0.0,74.5,18.610585674347032,55.75959066666667,1248.4392394444444,1248.4392394444444,-42.95687433333333,37.994677111111116,-50.755503888888896,-0.5042631111111111,2.3662028888888904,9.207012888888892,10.208944222222224,37.464654555555555,1767.3258311111108,0.6538815814382863,0.0
59,-72.42472,-30.801904444444443,-46.93794792083421,-34.6299040117094,0.0,84.5,13.598271606234439,56.29299688888889,1626.7473966666669,1108.6431203333334,-43.79562266666666,72.42135122222223,-58.72508144444445,2.2483769999999996,-0.5891109999999997,54.455047666666665,9.875737222222222,41.00918677777778,1767.3258311111108,-0.027649422412834673,0.0
60,-72.42472,-30.801904444444443,-41.39841150769515,-35.537510277135866,0.0,94.5,29.75877199992498,55.83361144444444,889.8012544444446,670.5867076666667,-27.077670555555557,196.70645222222223,-40.26239444444444,1.0722707777777778,-33.94895622222223,193.981158,5.736100111111112,80.29015855555556,1767.3258311111108,-1.2968364568799164,0.0
61,-72.42472,-30.801904444444443,-37.29505205580018,-36.48768833052959,0.0,104.5,34.24698449627698,55.80505344444445,1440.0603315555556,893.0418596666668,42.158021777777776,68.13447211111111,-37.445249666666676,14.404658333333334,63.70004288888889,46.486239888888896,5.236377888888889,36.18709455555556,1767.3258311111108,0.6315839448225481,0.0
62,-72.42472,-30.801904444444443,-34.234124036340845,-36.98633398366614,0.0,114.5,25.33828454799027,55.909177,1321.6362405555556,1094.191622888889,29.770587222222225,17.381122222222224,-10.943247000000001,-13.103047555555557,36.42828744444444,-24.75033355555556,6.856426777777777,51.69476833333333,1767.3258311111108,-0.718371308216662,1.0
63,-72.42472,-30.801904444444443,-34.454306558946676,-36.87444831236404,0.0,124.5,23.869184453010398,56.33817577777778,1989.4400016666666,1046.5631144444446,104.48291322222221,28.077904999999998,-2.950146777777778,17.662270333333332,72.79443433333333,147.43714777777777,7.592463666666667,63.25422055555557,1767.3258311111108,1.1039944044942878,0.0
64,-72.42472,-30.801904444444443,-37.415847469435626,-37.59488267662058,0.0,134.5,24.50070380646517,56.70826233333334,1438.8169927777776,333.0775142222222,72.81685922222223,18.050127000000003,29.50918355555556,4.504176555555555,12.10423311111111,107.74901644444446,9.988467444444444,83.15365188888889,1767.3258311111108,1.2200604267976944,0.0
